amfi_code,scheme_name,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe,Alpha,Beta,R_squared,Max_Drawdown,CAGR_score,Sharpe_score,Alpha_score,Drawdown_score,Score,Rank
118632,Nippon India Large Cap Fund - Regular - Growth,0.339810484550213,0.22652359830098634,0.2088111809083788,1.0816591793457044,0.21829397904608644,-0.008353832126962021,5.7917562701278335e-05,-0.17414075086657232,0.75,0.825,0.75,0.575,0.7425000000000002,11
101206,ABSL Frontline Equity Fund - Regular - Growth,0.4792412023860102,0.2896769452874166,0.20442729550832484,1.0272133278753697,0.21399784776051212,0.02108631625012803,0.0003480482030714251,-0.11291596329323073,0.725,0.8,0.725,0.225,0.66875,12
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.13064279264417977,0.3248742855621496,0.20234028033314222,1.0265242847993004,0.2119482701352573,0.016232169761417007,0.00021216129075887457,-0.12588275606922517,0.7,0.775,0.7,0.3,0.6587500000000001,13
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14269394138778924,0.14748035533586012,0.1956595954624316,0.9262873467360146,0.20873010086942337,-0.026387719943843004,0.0004859264752797316,-0.1527259422823477,0.675,0.65,0.675,0.475,0.63875,14
119552,SBI Bluechip Fund - Direct Plan - Growth,0.05706100044974027,0.16267372294624916,0.18713118910689763,0.9532794968660103,0.1986859936686296,-0.026159307513513405,0.0005850821704543426,-0.11803493502764295,0.65,0.725,0.65,0.275,0.6125,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.2867535802656873,0.18434488610520172,0.16555918956858906,0.7757902498211207,0.17729754927531766,0.04882040425957739,0.0018401792783071585,-0.15200013055606398,0.625,0.575,0.625,0.45,0.58625,16
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.08489081269294418,0.13978381933703043,0.16355566129520227,0.7979728586052847,0.17703302365844073,-0.0402689523698206,0.001397444608331861,-0.13897862823061635,0.6,0.6,0.6,0.35,0.5625,17
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.4181904829701364,0.1842199653744454,0.1488859671244569,0.6488787755249532,0.1625385327998104,0.04189646272811977,0.0012571178108220743,-0.1982565826298267,0.55,0.525,0.525,0.675,0.5575000000000001,18
102887,UTI Flexi Cap Fund - Regular - Growth,0.135831349444816,0.25556187904126526,0.146781096489218,0.6195175900829828,0.16211256794033255,0.016682689437770827,0.00018619166432850165,-0.21539827112383225,0.525,0.475,0.5,0.75,0.54125,19
118634,Nippon India Small Cap Fund - Regular - Growth,0.15811221971300937,0.08007927728656083,0.14274127320122987,0.4484340089089914,0.1750072167561127,0.1034966369133759,0.0027930065610663243,-0.2334488614483311,0.5,0.375,0.575,0.8,0.52875,20
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.20207703983094838,0.1966726206830185,0.1587882255741997,0.8170993373494368,0.17048756803412696,-0.019486785689474526,0.00038285030730923834,-0.1085986215250232,0.575,0.625,0.55,0.175,0.5225,21
118633,Nippon India Large Cap Fund - Direct - Growth,0.25539980483954094,0.2108997654925684,0.14188358083768593,0.6452074382933215,0.15643835948169668,-0.03663900671860934,0.0011382947171084282,-0.18629743138595511,0.475,0.5,0.475,0.65,0.5075000000000001,22
120841,Kotak Bluechip Fund - Regular - Growth,0.16837098075385626,0.1726727508371786,0.1181544242649819,0.49427253786723496,0.13042924450705445,0.036356399022199795,0.0012113711061211869,-0.1757361416468729,0.425,0.425,0.4,0.6,0.44625000000000004,23
118635,Nippon India ETF Nifty 50 BeES,0.22493224932249345,0.20008208380471482,0.13914386506748544,0.6648569985490619,0.1513635464823924,-0.001433521389780133,2.0253408972328425e-06,-0.1165062450540909,0.45,0.55,0.45,0.25,0.445,24
101207,ABSL Small Cap Fund - Regular - Growth,-0.23986031710270628,-0.04152381044854481,0.0695333570223926,0.1626607692864677,0.10897091901704538,-0.06528924788351524,0.0010641052735572622,-0.3544691649336603,0.35,0.325,0.35,0.95,0.43374999999999997,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.15443720834451846,0.11245222866621418,0.09880199138430035,0.3006119210425478,0.11989100971217971,0.009054412621739154,4.043746553634244e-05,-0.21117279560132118,0.375,0.35,0.375,0.725,0.42125,26
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1811115252275146,0.18044206486636138,0.11695026862847113,0.4640374492204777,0.13173190226099432,-0.004050271130006534,1.322760788085046e-05,-0.14844576917771746,0.4,0.4,0.425,0.4,0.405,27
119093,Axis Bluechip Fund - Direct - Growth,0.197667410165155,0.20816771175535864,0.06917406025598449,0.12961449795669325,0.08232801295222093,0.02588321244009315,0.0005692038090244872,-0.21751396370148224,0.325,0.3,0.325,0.775,0.38625,28
120842,Kotak Emerging Equity Fund - Regular - Growth,0.2250195657587366,0.07756003551327284,0.05873842419478348,0.07599984804658917,0.0780443887615508,0.01805687420811816,0.0001691554883831436,-0.24003511326274884,0.25,0.275,0.3,0.825,0.3525,29
120507,ICICI Pru Liquid Fund - Regular - Growth,0.0742505077613469,0.07394286300360076,0.06341690270358713,0.4957233929533124,0.06746210411099539,-0.0004440926329707234,0.00013430661440679868,-0.0009773140045925555,0.3,0.45,0.25,0.025,0.28624999999999995,30
119599,SBI Small Cap Fund - Direct Plan - Growth,0.1394780335518997,-0.01337386614488112,0.01805621440370042,-0.05718662582817997,0.048824215945539845,0.06200180438267168,0.0010259205326765965,-0.5257422117012851,0.075,0.225,0.125,1.0,0.26125,31
119092,Axis Bluechip Fund - Regular - Growth,0.016091186722522632,0.005258871209757432,0.055825550357928355,0.030784850954585913,0.0689952982167755,0.009730745001153637,8.082637693810774e-05,-0.1440161790933726,0.2,0.25,0.275,0.375,0.25375000000000003,32
119095,Axis Small Cap Fund - Regular - Growth,-0.427976145588544,-0.11705806723995271,0.013376247776951455,-0.07597357117478923,0.048015953637759554,-0.066951174639292,0.0011851593464486715,-0.5167775370852656,0.05,0.2,0.1,0.975,0.23625000000000002,33
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.02224270997710287,0.01292649342495622,0.023168434686413164,-0.2015170675596694,0.03747580763443281,-0.0582684314388089,0.002665032698133324,-0.24734440880673303,0.1,0.15,0.05,0.85,0.21500000000000002,34
120844,Kotak Liquid Fund - Regular - Growth,0.07120323042122512,0.06695971624586994,0.060604313665645115,-0.08874729621557331,0.06455677495375998,-0.00040074423947840013,0.00010125435692271723,-0.0011629327956168556,0.275,0.175,0.225,0.05,0.20625000000000002,35
102886,UTI Mid Cap Fund - Regular - Growth,-0.16797480944407306,-0.007674063178547241,0.010303498015576507,-0.20583160785470314,0.028969397866379445,-0.04212502902189432,0.0008964294600687582,-0.2800112356639287,0.025,0.125,0.025,0.875,0.1775,36
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.055219955107626895,0.05840358798463097,0.051644356698553606,-0.22657538662791596,0.05620895216638369,-0.006413850728276477,0.00043426033217200524,-0.04328728923970093,0.175,0.1,0.175,0.125,0.14875,37
101208,ABSL Liquid Fund - Regular - Growth,0.0723664530138024,0.06315784491375509,0.05705734207350055,-0.8155673679088278,0.060861457957871144,0.00026670968338238433,4.6076236771052326e-05,-0.0016224980244717857,0.225,0.025,0.2,0.075,0.14750000000000005,38
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.10454939683040276,0.040622050237771434,0.046639279794601585,-0.356629507514368,0.05074772999976104,0.0012566742731558458,1.651665231033275e-05,-0.08316361763638702,0.15,0.075,0.15,0.15,0.13125,39
100025,HDFC Short Term Debt Fund - Regular - Growth,0.03704968580461343,0.039163899571040384,0.03912652604315703,-0.5670947928476847,0.042817920315060876,0.0011582183155281463,1.4612842041845034e-05,-0.04308263824636349,0.125,0.05,0.075,0.1,0.0925,40
